ticker,rs_days,ipo_days_eff,fresh_via,as_of_date
CLIK,309,675,rs,2026-08-15
CLIM,,156,ipo,2026-08-15
CLIR,152,5225,rs,2026-08-15
CLLEF,17,,rs,2026-08-15
CLNK,,213,ipo,2026-08-15
CLOC,,296,ipo,2026-08-15
CLOO,,101,ipo,2026-08-15
CLSD,334,3726,rs,2026-08-15
CLSX,,333,ipo,2026-08-15
CLSZ,,177,ipo,2026-08-15
CLUB,,101,ipo,2026-08-15
CMAG,,101,ipo,2026-08-15
CMAY,,106,ipo,2026-08-15
CMBO,,284,ipo,2026-08-15
CMCSV,,243,ipo,2026-08-15
CMCT,117,4491,rs,2026-08-15
CMGG,,271,ipo,2026-08-15
CMII,,169,ipo,2026-08-15
CMIIU,,185,ipo,2026-08-15
CMIIW,,165,ipo,2026-08-15
CMMB,354,1977,rs,2026-08-15
CMND,86,1369,rs,2026-08-15
CMTNF,192,,rs,2026-08-15
CMTV,,194,ipo,2026-08-15
CNCG,3165,240,ipo,2026-08-15
CNCOF,137,,rs,2026-08-15
CNF,344,2838,rs,2026-08-15
CNQQ,,323,ipo,2026-08-15
CNRCF,358,,rs,2026-08-15
CNTB,,346,ipo,2026-08-15
CNTM,117,761,rs,2026-08-15
CNTN,,178,ipo,2026-08-15
CNUCF,178,,rs,2026-08-15
CNXU,,86,ipo,2026-08-15
COAG,,106,ipo,2026-08-15
CODX,225,157,both,2026-08-15
COHC,,39,ipo,2026-08-15
COHH,,95,ipo,2026-08-15
COHX,,177,ipo,2026-08-15
COIA,79,339,both,2026-08-15
COIX,,50,ipo,2026-08-15
COLAU,,109,ipo,2026-08-15
COMD,,185,ipo,2026-08-15
CONI,365,710,rs,2026-08-15
CONX,,269,ipo,2026-08-15
CONY,256,1096,rs,2026-08-15
COOK,150,1843,rs,2026-08-15
COPJF,277,,rs,2026-08-15
COPL.U,,87,ipo,2026-08-15
COPL.WS,,194,ipo,2026-08-15
COPR,243,44,both,2026-08-15
COPR.WS,,44,ipo,2026-08-15
COPZ,,178,ipo,2026-08-15
CORB,,278,ipo,2026-08-15
CORD,,323,ipo,2026-08-15
COSG,288,,rs,2026-08-15
COSW,,296,ipo,2026-08-15
COTG,,331,ipo,2026-08-15
COYY,74,382,rs,2026-08-15
COZX,,283,ipo,2026-08-15
CPEFF,241,,rs,2026-08-15
CPNX,,113,ipo,2026-08-15
CPOP,33,1872,rs,2026-08-15
CPTL,,24,ipo,2026-08-15
CQTM,,101,ipo,2026-08-15
CRAC,,249,ipo,2026-08-15
CRACR,,249,ipo,2026-08-15
CRACU,,281,ipo,2026-08-15
CRACW,,249,ipo,2026-08-15
CRAN,,215,ipo,2026-08-15
CRANR,,215,ipo,2026-08-15
CRANU,,242,ipo,2026-08-15
CRAQU,,72,ipo,2026-08-15
CRCA,170,373,rs,2026-08-15
CRCD,,323,ipo,2026-08-15
CRCG,102,369,rs,2026-08-15
CRCO,3460,319,ipo,2026-08-15
CRD,,32,ipo,2026-08-15
CRDD,,136,ipo,2026-08-15
CRDU,158,333,both,2026-08-15
CRDX,,136,ipo,2026-08-15
CRE,183,388,rs,2026-08-15
CREG,60,11043,rs,2026-08-15
CRIB,,53,ipo,2026-08-15
CRIS,40,9510,rs,2026-08-15
CRMG,,187,ipo,2026-08-15
CRMU,,186,ipo,2026-08-15
CRMX,158,214,both,2026-08-15
CROEF,204,,rs,2026-08-15
CROTF,94,,rs,2026-08-15
CRSH,256,835,rs,2026-08-15
CRSM,358,,rs,2026-08-15
CRSTF,298,,rs,2026-08-15
CRTD,172,2164,rs,2026-08-15
CRUC,,52,ipo,2026-08-15
CRUX,,152,ipo,2026-08-15
CRWC,,32,ipo,2026-08-15
CRWG,102,369,rs,2026-08-15
CRWX,,39,ipo,2026-08-15
CRXP,,247,ipo,2026-08-15
CRY,,109,ipo,2026-08-15
CRZNF,311,,rs,2026-08-15
CSAI,15,548,rs,2026-08-15
CSCIF,39,,rs,2026-08-15
CSEN,,61,ipo,2026-08-15
CSEX,,275,ipo,2026-08-15
CSHR,,136,ipo,2026-08-15
CSHRW,,136,ipo,2026-08-15
CSIO,,248,ipo,2026-08-15
CSQR,,30,ipo,2026-08-15
CSRVF,11,,rs,2026-08-15
CSSD,,248,ipo,2026-08-15
CTAA,,121,ipo,2026-08-15
CTAAR,,121,ipo,2026-08-15
CTAAU,,172,ipo,2026-08-15
CTAP,,249,ipo,2026-08-15
CTEC,347,2116,rs,2026-08-15
CTGCF,228,,rs,2026-08-15
CTGG,,59,ipo,2026-08-15
CTHH,,59,ipo,2026-08-15
CTJL,,44,ipo,2026-08-15
CTJN,,74,ipo,2026-08-15
CTMA,,101,ipo,2026-08-15
CTNT,108,1110,rs,2026-08-15
CUBT,145,,rs,2026-08-15
CUBWU,,339,ipo,2026-08-15
CUE,113,3147,rs,2026-08-15
CULTF,211,,rs,2026-08-15
CUPR,80,492,rs,2026-08-15
CURLF,71,,rs,2026-08-15
CURX,,354,ipo,2026-08-15
CUSD,,199,ipo,2026-08-15
CUST,,72,ipo,2026-08-15
CUVL,,26,ipo,2026-08-15
CVGD,,89,ipo,2026-08-15
CVSA,,172,ipo,2026-08-15
CVSM,,89,ipo,2026-08-15
CWII,7718,284,ipo,2026-08-15
CWVX,256,400,rs,2026-08-15
CWY,,123,ipo,2026-08-15
CXII,7655,59,ipo,2026-08-15
CXIIU,,109,ipo,2026-08-15
CXIIW,,59,ipo,2026-08-15
CYAB,,141,ipo,2026-08-15
CYAN,187,,rs,2026-08-15
CYCU,292,543,rs,2026-08-15
CYKLF,313,,rs,2026-08-15
CYPH,,275,ipo,2026-08-15
CYPMF,291,,rs,2026-08-15
DAIC,75,418,rs,2026-08-15
DAMD,,274,ipo,2026-08-15
DANA,,255,ipo,2026-08-15
DASX,,296,ipo,2026-08-15
DBCA,,171,ipo,2026-08-15
DBCAU,,185,ipo,2026-08-15
DBCAW,,171,ipo,2026-08-15
DBGI,22,360,both,2026-08-15
DBSC,,242,ipo,2026-08-15
DCBG,,130,ipo,2026-08-15
DCH,,191,ipo,2026-08-15
DCOY,159,219,both,2026-08-15
DCX,205,248,both,2026-08-15
DD,52,2630,rs,2026-08-15
DDDD,,156,ipo,2026-08-15
DDFA,,136,ipo,2026-08-15
DDFD,,257,ipo,2026-08-15
DDFF,,194,ipo,2026-08-15
DDFJ,,225,ipo,2026-08-15
DDFM,,166,ipo,2026-08-15
DDFN,,285,ipo,2026-08-15
DDFO,,318,ipo,2026-08-15
DDFS,,347,ipo,2026-08-15
DDFY,,106,ipo,2026-08-15
DDFZ,,75,ipo,2026-08-15
DDNQ,,225,ipo,2026-08-15
DDSQ,,225,ipo,2026-08-15
DDTA,,136,ipo,2026-08-15
DDTD,,257,ipo,2026-08-15
DDTF,,194,ipo,2026-08-15
DDTJ,,225,ipo,2026-08-15
DDTM,,166,ipo,2026-08-15
DDTN,,285,ipo,2026-08-15
DDTO,,318,ipo,2026-08-15
DDTS,,347,ipo,2026-08-15
DDTY,,106,ipo,2026-08-15
DDTZ,,75,ipo,2026-08-15
DDV,,275,ipo,2026-08-15
DDX,,283,ipo,2026-08-15
DDXX,,275,ipo,2026-08-15
DETX,,115,ipo,2026-08-15
DFAL,,53,ipo,2026-08-15
DFDVW,,282,ipo,2026-08-15
DFLI,240,1405,rs,2026-08-15
DFMC,,148,ipo,2026-08-15
DFNS,26,187,both,2026-08-15
DFNSW,,187,ipo,2026-08-15
DFTT,7551,276,ipo,2026-08-15
DFTX,,212,ipo,2026-08-15
DGAC,,29,ipo,2026-08-15
DGAC.U,,80,ipo,2026-08-15
DGAP,,117,ipo,2026-08-15
DGJA,,207,ipo,2026-08-15
DGJL,,26,ipo,2026-08-15
DGLY,219,,rs,2026-08-15
DGNX,109,570,rs,2026-08-15
DGOC,,299,ipo,2026-08-15
DHAI,299,918,rs,2026-08-15
DHLX,,320,ipo,2026-08-15
DIME,,312,ipo,2026-08-15
DINE,6248,102,ipo,2026-08-15
DIPR,,101,ipo,2026-08-15
DIPS,256,752,rs,2026-08-15
DISK,,46,ipo,2026-08-15
DIVE,,333,ipo,2026-08-15
DJTU,33,529,rs,2026-08-15
DKI,96,372,rs,2026-08-15
DKNX,148,380,rs,2026-08-15
DLAG,,327,ipo,2026-08-15
DLFE,,173,ipo,2026-08-15
DLMY,,89,ipo,2026-08-15
DLNV,,264,ipo,2026-08-15
DLUX,,136,ipo,2026-08-15
DMC,,47,ipo,2026-08-15
DMII,,255,ipo,2026-08-15
DMIIR,,255,ipo,2026-08-15
DMIIU,,324,ipo,2026-08-15
DMRA,,158,ipo,2026-08-15
DMYY.U,,338,ipo,2026-08-15
DNMX,,269,ipo,2026-08-15
DNMXU,,289,ipo,2026-08-15
DNMXW,,269,ipo,2026-08-15
DNNG,,186,ipo,2026-08-15
DOCK,,101,ipo,2026-08-15
DOJE,,331,ipo,2026-08-15
DOO,,250,ipo,2026-08-15
DOWAY,365,,rs,2026-08-15
DPC,,51,ipo,2026-08-15
DPLS,306,,rs,2026-08-15
DPRE,,122,ipo,2026-08-15
DPU,,30,ipo,2026-08-15
DQJN,,54,ipo,2026-08-15
DRAL,,51,ipo,2026-08-15
DRAM,,135,ipo,2026-08-15
DRCT,110,1646,rs,2026-08-15
DRDBU,,169,ipo,2026-08-15
DRES,,318,ipo,2026-08-15
DRIO,352,3816,rs,2026-08-15
DRIP,31,4096,rs,2026-08-15
DRKY,,311,ipo,2026-08-15
DRMP,,65,ipo,2026-08-15
DRMY,,30,ipo,2026-08-15
DRNL,,165,ipo,2026-08-15
DRNZ,,290,ipo,2026-08-15
DRTMF,299,,rs,2026-08-15
DRVR,,37,ipo,2026-08-15
DSAC,,198,ipo,2026-08-15
DSACU,,249,ipo,2026-08-15
DSACW,,198,ipo,2026-08-15
DSC,,51,ipo,2026-08-15
DSCO,5709,194,ipo,2026-08-15
DSHK,250,,rs,2026-08-15
DSMLX,157,,rs,2026-08-15
DSY,173,799,rs,2026-08-15
DTCK,159,1061,rs,2026-08-15
DTCX,,242,ipo,2026-08-15
DTK,,327,ipo,2026-08-15
DTSQU,,81,ipo,2026-08-15
DUKR,162,92,both,2026-08-15
DUKRW,,92,ipo,2026-08-15
DULL,172,1270,rs,2026-08-15
DUNK,,333,ipo,2026-08-15
DUOG,102,247,both,2026-08-15
DUSG,,101,ipo,2026-08-15
DUST,163,5729,rs,2026-08-15
DUTV,309,,rs,2026-08-15
DUTY,,129,ipo,2026-08-15
DVGR,,253,ipo,2026-08-15
DVHGF,205,,rs,2026-08-15
DVVY,,149,ipo,2026-08-15
DWWN,,86,ipo,2026-08-15
DXST,152,570,rs,2026-08-15
DYCQU,,360,ipo,2026-08-15
DYNB,,325,ipo,2026-08-15
DYNC,,106,ipo,2026-08-15
DYNCU,,101,ipo,2026-08-15
DYNCW,,106,ipo,2026-08-15
DYOR,,270,ipo,2026-08-15
DYORU,,290,ipo,2026-08-15
DYORW,,270,ipo,2026-08-15
EAF,351,3040,rs,2026-08-15
EART,,166,ipo,2026-08-15
EASY,7292,319,ipo,2026-08-15
ECDA,232,976,rs,2026-08-15
ECHO,,52,ipo,2026-08-15
ECHX,,45,ipo,2026-08-15
EDBL,33,1563,rs,2026-08-15
EDGQ,,178,ipo,2026-08-15
EDGX,,178,ipo,2026-08-15
EDHL,187,485,rs,2026-08-15
EDZ,320,6450,rs,2026-08-15
EEE,5839,197,ipo,2026-08-15
EEIQ,179,1969,rs,2026-08-15
EELFF,36,,rs,2026-08-15
EEV,268,6864,rs,2026-08-15
EFOR,,113,ipo,2026-08-15
EFZ,79,6871,rs,2026-08-15
EGHAU,,162,ipo,2026-08-15
EHCC,,135,ipo,2026-08-15
EHGO,117,774,rs,2026-08-15
EHY,,310,ipo,2026-08-15
EIKN,,191,ipo,2026-08-15
EJH,138,1919,rs,2026-08-15
ELAB,158,998,rs,2026-08-15
ELE,,263,ipo,2026-08-15
ELEMF,333,,rs,2026-08-15
ELLA,,130,ipo,2026-08-15
ELMT,,114,ipo,2026-08-15
ELOG,,352,ipo,2026-08-15
ELOX,75,67,both,2026-08-15
ELPW,5,631,rs,2026-08-15
ELVG,151,,rs,2026-08-15
ELVR,,347,ipo,2026-08-15
ELWT,,283,ipo,2026-08-15
EMAT,,221,ipo,2026-08-15
EMBJ,,285,ipo,2026-08-15
EMBX,,313,ipo,2026-08-15
EMEM,,87,ipo,2026-08-15
EMET,,183,ipo,2026-08-15
EMFI,,114,ipo,2026-08-15
EMIS,,297,ipo,2026-08-15
EMISR,,296,ipo,2026-08-15
EMISU,,324,ipo,2026-08-15
EMJL,,44,ipo,2026-08-15
EMJN,,74,ipo,2026-08-15
EMKT,7449,292,ipo,2026-08-15
EMMY,,101,ipo,2026-08-15
EMSC,,86,ipo,2026-08-15
EMTY,79,3194,rs,2026-08-15
EMXX,,72,ipo,2026-08-15
ENHA,,99,ipo,2026-08-15
ENHI,,156,ipo,2026-08-15
ENHU,,283,ipo,2026-08-15
ENLV,37,2699,rs,2026-08-15
ENPX,,333,ipo,2026-08-15
ENRD,,66,ipo,2026-08-15
ENRDW,,66,ipo,2026-08-15
ENTL,,53,ipo,2026-08-15
ENVB,291,2053,rs,2026-08-15
ENZN,143,,rs,2026-08-15
EO,,46,ipo,2026-08-15
EOSER,,40,ipo,2026-08-15
EOSU,122,213,both,2026-08-15
EPAI,,240,ipo,2026-08-15
EPWK,271,555,rs,2026-08-15
EQHEX,332,,rs,2026-08-15
EQPT,,204,ipo,2026-08-15
EQQQ,,23,ipo,2026-08-15
ERDCF,344,,rs,2026-08-15
ERNA,103,1398,rs,2026-08-15
ERNAW,,190,ipo,2026-08-15
EROC,,66,ipo,2026-08-15
EROK,7551,93,ipo,2026-08-15
ERYTF,278,,rs,2026-08-15
ESBG,,269,ipo,2026-08-15
ESHDF,355,,rs,2026-08-15
ESIM,,241,ipo,2026-08-15
ESK,,324,ipo,2026-08-15
ESLG,,319,ipo,2026-08-15
ESLV,,319,ipo,2026-08-15
ESPGY,304,,rs,2026-08-15
ESSC,,319,ipo,2026-08-15
ESSI,103,,rs,2026-08-15
ESUM,,347,ipo,2026-08-15
ESXMF,247,,rs,2026-08-15
ETCO,,345,ipo,2026-08-15
ETFT,,256,ipo,2026-08-15
ETHB,,156,ipo,2026-08-15
ETHD,268,799,rs,2026-08-15
ETHI,,331,ipo,2026-08-15
ETHM,,353,ipo,2026-08-15
ETHMU,,351,ipo,2026-08-15
ETHMW,,353,ipo,2026-08-15
ETHZ,299,362,both,2026-08-15
ETHZW,,362,ipo,2026-08-15
ETNG,,95,ipo,2026-08-15
ETQ,290,660,rs,2026-08-15
ETRL,,346,ipo,2026-08-15
ETS,7596,359,ipo,2026-08-15
ETSS,,72,ipo,2026-08-15
ETSS.U,,92,ipo,2026-08-15
ETSS.WS,,72,ipo,2026-08-15
ETTY,,310,ipo,2026-08-15
EUBG,171,,rs,2026-08-15
EUDA,145,1366,rs,2026-08-15
EUHY,,285,ipo,2026-08-15
EUIG,,282,ipo,2026-08-15
EURKU,,71,ipo,2026-08-15
EUV,,101,ipo,2026-08-15
EUVX,,73,ipo,2026-08-15
EVAC,,358,ipo,2026-08-15
EVAC.WS,,358,ipo,2026-08-15
EVGUF,302,,rs,2026-08-15
EVMN,,282,ipo,2026-08-15
EVMU,,80,ipo,2026-08-15
EVOX,,255,ipo,2026-08-15
EVOXU,,277,ipo,2026-08-15
EVOXW,,255,ipo,2026-08-15
EVPF,,163,ipo,2026-08-15
EWPMF,313,,rs,2026-08-15
EXEEW,,284,ipo,2026-08-15
EXEEZ,,242,ipo,2026-08-15
EXEQ,,183,ipo,2026-08-15
EXXBF,5,,rs,2026-08-15
EXYN,,92,ipo,2026-08-15
EXYNW,,92,ipo,2026-08-15
EYES,2413,101,ipo,2026-08-15
EZGO,88,2027,rs,2026-08-15
EZMO,,303,ipo,2026-08-15
EZRA,89,201,both,2026-08-15
EZRAW,,201,ipo,2026-08-15
EZRO,,303,ipo,2026-08-15
FAAA,,184,ipo,2026-08-15
FABC,,108,ipo,2026-08-15
FAC,,68,ipo,2026-08-15
FACWW,,68,ipo,2026-08-15
FAZ,320,6491,rs,2026-08-15
FBLG,138,927,rs,2026-08-15
FBRKF,29,,rs,2026-08-15
FBX,,50,ipo,2026-08-15
FBYY,,298,ipo,2026-08-15
FCBM,,58,ipo,2026-08-15
FCHL,103,345,both,2026-08-15
FCLO,,184,ipo,2026-08-15
FCNCN,,187,ipo,2026-08-15
FCRS,8544,271,ipo,2026-08-15
FCRS.U,,323,ipo,2026-08-15
FCRS.WS,,271,ipo,2026-08-15
FCUV,53,1810,rs,2026-08-15
FCXG,,177,ipo,2026-08-15
FDCT,36,,rs,2026-08-15
FDIQ,,173,ipo,2026-08-15
FDMMU,,38,ipo,2026-08-15
FDRS,,228,ipo,2026-08-15
FDRX,,212,ipo,2026-08-15
FDXF,,75,ipo,2026-08-15
FDXTF,362,,rs,2026-08-15
FECM,,44,ipo,2026-08-15
FEED,368,246,ipo,2026-08-15
FEMD,,200,ipo,2026-08-15
FEMG,,107,ipo,2026-08-15
FEMV,,107,ipo,2026-08-15
FEMY,68,1884,rs,2026-08-15
FERAU,,71,ipo,2026-08-15
FESC,,44,ipo,2026-08-15
FFAI,22,523,rs,2026-08-15
FFF,,240,ipo,2026-08-15
FFOXF,365,,rs,2026-08-15
FGHFF,214,,rs,2026-08-15
FGII,,158,ipo,2026-08-15
FGIIU,,211,ipo,2026-08-15
FGIIW,,158,ipo,2026-08-15
FGL,186,661,rs,2026-08-15
FGLDF,121,,rs,2026-08-15
FGNX,183,369,rs,2026-08-15
FGRRF,346,,rs,2026-08-15
FGRU,,178,ipo,2026-08-15
FHIL,,59,ipo,2026-08-15
FIAT,256,766,rs,2026-08-15
FIGG,102,305,both,2026-08-15
FIGR,,338,ipo,2026-08-15
FIGX,,362,ipo,2026-08-15
FIGXW,,362,ipo,2026-08-15
FIMU,,58,ipo,2026-08-15
FINA,,37,ipo,2026-08-15
FINY,,102,ipo,2026-08-15
FIRY,,54,ipo,2026-08-15
FISN,,58,ipo,2026-08-15
FISV,,277,ipo,2026-08-15
FITBM,,194,ipo,2026-08-15
FITZ,,79,ipo,2026-08-15
FIYY,,102,ipo,2026-08-15
FJET,,240,ipo,2026-08-15
FJTCF,145,,rs,2026-08-15
FLNA,,157,ipo,2026-08-15
FLXI,,170,ipo,2026-08-15
FLYD,172,1515,rs,2026-08-15
FLYE,284,800,rs,2026-08-15
FLYT,,296,ipo,2026-08-15
FLZH,187,60,both,2026-08-15
FMAC,,89,ipo,2026-08-15
FMACR,,89,ipo,2026-08-15
FMACU,,141,ipo,2026-08-15
FMTL,,283,ipo,2026-08-15
FNG,,60,ipo,2026-08-15
FNGD,187,3126,rs,2026-08-15
FNMCF,248,,rs,2026-08-15
FNRN,,113,ipo,2026-08-15
FNUC,,152,ipo,2026-08-15
FOCL,,75,ipo,2026-08-15
FOFO,,337,ipo,2026-08-15
FOMG,,53,ipo,2026-08-15
FOTO,7697,78,ipo,2026-08-15
FOXO,45,1429,rs,2026-08-15
FPAA,,68,ipo,2026-08-15
FPS,,191,ipo,2026-08-15
FPSX,,53,ipo,2026-08-15
FPWR,,346,ipo,2026-08-15
FRBT,,65,ipo,2026-08-15
FREI,7213,58,ipo,2026-08-15
FRGN,,255,ipo,2026-08-15
FRGT,89,1541,rs,2026-08-15
FRIZ,,351,ipo,2026-08-15
FRMI,,318,ipo,2026-08-15
FRMM,,166,ipo,2026-08-15
FRNM,,25,ipo,2026-08-15
FRQN,37,,rs,2026-08-15
FRSX,170,3348,rs,2026-08-15
FRTT,,68,ipo,2026-08-15
FRVO,,94,ipo,2026-08-15
FRWD,,214,ipo,2026-08-15
FSEG,,107,ipo,2026-08-15
FSEV,,107,ipo,2026-08-15
FSHPU,,86,ipo,2026-08-15
FSML,,247,ipo,2026-08-15
FSOL,,270,ipo,2026-08-15
FSPC,,37,ipo,2026-08-15
FSSL,,275,ipo,2026-08-15
FSTB,,58,ipo,2026-08-15
FTCA,,292,ipo,2026-08-15
FTEL,326,1103,rs,2026-08-15
FTFT,33,3351,rs,2026-08-15
FTH,,60,ipo,2026-08-15
FTHA,,54,ipo,2026-08-15
FTHAU,,107,ipo,2026-08-15
FTHAW,,54,ipo,2026-08-15
FTHB,,149,ipo,2026-08-15
FTMA,,278,ipo,2026-08-15
FTMH,,292,ipo,2026-08-15
FTMN,,278,ipo,2026-08-15
FTMS,,292,ipo,2026-08-15
FTMU,,292,ipo,2026-08-15
FTNJ,,278,ipo,2026-08-15
FTNY,,292,ipo,2026-08-15
FTOH,,278,ipo,2026-08-15
FTPA,,278,ipo,2026-08-15
FTRA.U,,71,ipo,2026-08-15
FTW,,163,ipo,2026-08-15
FTW.U,,281,ipo,2026-08-15
FTW.WS,,285,ipo,2026-08-15
FUBO,144,2137,rs,2026-08-15
FUSD,,52,ipo,2026-08-15
FUSE,,296,ipo,2026-08-15
FUSEW,,296,ipo,2026-08-15
FUTG,,305,ipo,2026-08-15
FVAV,,170,ipo,2026-08-15
FVNNU,,86,ipo,2026-08-15
FWACU,,51,ipo,2026-08-15
FWCTF,253,,rs,2026-08-15
FWDI,,271,ipo,2026-08-15
FXAC,,39,ipo,2026-08-15
FXACU,,85,ipo,2026-08-15
FXACW,,39,ipo,2026-08-15
FXHO,179,44,both,2026-08-15
FXP,268,6857,rs,2026-08-15
GAID,,236,ipo,2026-08-15
GAING,,177,ipo,2026-08-15
GALX,,30,ipo,2026-08-15
GARA,6168,236,ipo,2026-08-15
GARLF,268,,rs,2026-08-15
GARY,,236,ipo,2026-08-15
GASZ,,101,ipo,2026-08-15
GAUD,,236,ipo,2026-08-15
GAVA,,156,ipo,2026-08-15
GBCMF,50,,rs,2026-08-15
GBCMY,50,,rs,2026-08-15
GBHI,,271,ipo,2026-08-15
GCAN,302,,rs,2026-08-15
GCDT,,214,ipo,2026-08-15
GCGR,,54,ipo,2026-08-15
GCGRU,,107,ipo,2026-08-15
GCGRW,,53,ipo,2026-08-15
GCMLF,37,,rs,2026-08-15
GCSH,,61,ipo,2026-08-15
GDC,47,1313,rs,2026-08-15
GDFN,,324,ipo,2026-08-15
GDHG,352,1221,rs,2026-08-15
GDLC,,330,ipo,2026-08-15
GDOG,,264,ipo,2026-08-15
GDT,,205,ipo,2026-08-15
GDXD,187,2081,rs,2026-08-15
GDXW,,289,ipo,2026-08-15
GECCG,,337,ipo,2026-08-15
GEMG,113,283,both,2026-08-15
GEMI,6648,337,ipo,2026-08-15
GENB,,169,ipo,2026-08-15
GENZ,,128,ipo,2026-08-15
GEORX,250,,rs,2026-08-15
GEQ,,67,ipo,2026-08-15
GEVC,,36,ipo,2026-08-15
GEVG,,242,ipo,2026-08-15
GEVI,352,,rs,2026-08-15
GEW,,324,ipo,2026-08-15
GFSG,,53,ipo,2026-08-15
GFTRF,151,,rs,2026-08-15
GFUZ,,33,ipo,2026-08-15
GFUZW,,33,ipo,2026-08-15
GGAMF,289,,rs,2026-08-15
GGAZF,36,,rs,2026-08-15
GGLS,31,1438,rs,2026-08-15
GGR,313,1593,rs,2026-08-15
GGRP,,177,ipo,2026-08-15
GGTL,,243,ipo,2026-08-15
GHXIU,,53,ipo,2026-08-15
GIBO,47,463,rs,2026-08-15
GIDMF,298,,rs,2026-08-15
GIEQ,,86,ipo,2026-08-15
GIF,,170,ipo,2026-08-15
GIGGU,,87,ipo,2026-08-15
GIPR,36,1775,rs,2026-08-15
GISC,,61,ipo,2026-08-15
GIW,,292,ipo,2026-08-15
GIWWR,,292,ipo,2026-08-15
GIWWU,,313,ipo,2026-08-15
GIX,,149,ipo,2026-08-15
GIXXR,,149,ipo,2026-08-15
GIXXU,,200,ipo,2026-08-15
GKAT,,355,ipo,2026-08-15
GLAM,,101,ipo,2026-08-15
GLAS,,46,ipo,2026-08-15
GLDB,,295,ipo,2026-08-15
GLDN,,178,ipo,2026-08-15
GLDW,,289,ipo,2026-08-15
GLED,,123,ipo,2026-08-15
GLED.U,,164,ipo,2026-08-15
GLGG,,359,ipo,2026-08-15
GLIBR,,262,ipo,2026-08-15
GLIIF,163,,rs,2026-08-15
GLIOF,305,,rs,2026-08-15
GLIX,,313,ipo,2026-08-15
GLL,268,6466,rs,2026-08-15
GLND,,142,ipo,2026-08-15
GLNDW,,109,ipo,2026-08-15
GLNK,8522,256,ipo,2026-08-15
GLOH,309,,rs,2026-08-15
GLOO,,269,ipo,2026-08-15
GLWG,,158,ipo,2026-08-15
GLX,,46,ipo,2026-08-15
GLXG,341,702,rs,2026-08-15
GME.WS,,311,ipo,2026-08-15
GMEC,4603,46,ipo,2026-08-15
GMEX,44,156,both,2026-08-15
GMEY,,340,ipo,2026-08-15
GMM,65,1040,rs,2026-08-15
GMOC,,291,ipo,2026-08-15
GMOD,,305,ipo,2026-08-15
GMPR,269,,rs,2026-08-15
GMRCF,200,,rs,2026-08-15
GMRE,327,3699,rs,2026-08-15
GMRS,,94,ipo,2026-08-15
GMTL,,145,ipo,2026-08-15
GNCLF,299,,rs,2026-08-15
GNLN,131,2676,rs,2026-08-15
GNMX,,101,ipo,2026-08-15
GNOM,347,2684,rs,2026-08-15
GNPX,30,3061,rs,2026-08-15
GOAI,550,199,ipo,2026-08-15
GOCOF,183,,rs,2026-08-15
GOGL,3666,50,ipo,2026-08-15
GOGY,45,,rs,2026-08-15
GOLD,,256,ipo,2026-08-15
GOLI,,46,ipo,2026-08-15
GOLS,,225,ipo,2026-08-15
GOOGM,,68,ipo,2026-08-15
GOOGN,,68,ipo,2026-08-15
GOOL,,39,ipo,2026-08-15
GOU,,256,ipo,2026-08-15
GOVM,,94,ipo,2026-08-15
GOVX,215,2150,rs,2026-08-15
GOVZ,102,2151,rs,2026-08-15
GP,341,2178,rs,2026-08-15
GPAC,,204,ipo,2026-08-15
GPACU,,255,ipo,2026-08-15
GPACW,,204,ipo,2026-08-15
GPATU,,87,ipo,2026-08-15
GPGI,,204,ipo,2026-08-15
GPT,3511,320,ipo,2026-08-15
GPUSF,106,,rs,2026-08-15
GQMLF,184,,rs,2026-08-15
GRAF.U,,74,ipo,2026-08-15
GRAG,,247,ipo,2026-08-15
GRDX,362,257,both,2026-08-15
GRI,201,1209,rs,2026-08-15
GRLF,236,,rs,2026-08-15
GRML,,156,ipo,2026-08-15
GRMLW,,156,ipo,2026-08-15
GRNI,,270,ipo,2026-08-15
GRNJ,,270,ipo,2026-08-15
GRNL,229,,rs,2026-08-15
GRNQ,9,2985,rs,2026-08-15
GRSD,,23,ipo,2026-08-15
GRTX,33,2473,rs,2026-08-15
GRYCF,257,,rs,2026-08-15
GRYP,346,918,rs,2026-08-15
GRZZX,323,,rs,2026-08-15
GSGO,,271,ipo,2026-08-15
GSHRF,17,,rs,2026-08-15
GSHRU,,109,ipo,2026-08-15
GSIW,162,988,rs,2026-08-15
GSOL,,290,ipo,2026-08-15
GSRF,,299,ipo,2026-08-15
GSRFR,,299,ipo,2026-08-15
GSRFU,,92,ipo,2026-08-15
GSRV,,44,ipo,2026-08-15
GSRVR,,38,ipo,2026-08-15
GSRVU,,93,ipo,2026-08-15
GSUI,,178,ipo,2026-08-15
GSWO,,191,ipo,2026-08-15
GSX,,333,ipo,2026-08-15
GTCDF,44,,rs,2026-08-15
GTEH,267,,rs,2026-08-15
GTI,355,883,rs,2026-08-15
GTND,,93,ipo,2026-08-15
GTOH,,173,ipo,2026-08-15
GTOP,,250,ipo,2026-08-15
GTOQ,,173,ipo,2026-08-15
GTPE,,296,ipo,2026-08-15
GTRIF,362,,rs,2026-08-15
GUAC,,40,ipo,2026-08-15
GUACU,,92,ipo,2026-08-15
GUACW,,40,ipo,2026-08-15
GURE,292,5525,rs,2026-08-15
GURFF,3,,rs,2026-08-15
