ticker,rs_days,ipo_days_eff,fresh_via,as_of_date
ALMR,,120,ipo,2026-08-15
ALOV,,152,ipo,2026-08-15
ALOVU,,205,ipo,2026-08-15
ALOVW,,150,ipo,2026-08-15
ALOY,7500,171,ipo,2026-08-15
ALP,,116,ipo,2026-08-15
ALPS,,288,ipo,2026-08-15
ALPX,,39,ipo,2026-08-15
ALPXR,,39,ipo,2026-08-15
ALPXU,,51,ipo,2026-08-15
ALPXW,,39,ipo,2026-08-15
ALUB,,221,ipo,2026-08-15
ALUB.U,,275,ipo,2026-08-15
ALUB.WS,,221,ipo,2026-08-15
ALUR,58,1109,rs,2026-08-15
AMA,,106,ipo,2026-08-15
AMAA,,50,ipo,2026-08-15
AMACU,,29,ipo,2026-08-15
AMAN,,88,ipo,2026-08-15
AMAU,,95,ipo,2026-08-15
AMCCF,214,,rs,2026-08-15
AMCI,,248,ipo,2026-08-15
AMCR,212,2622,rs,2026-08-15
AMDC,,50,ipo,2026-08-15
AMDD,31,549,rs,2026-08-15
AMDU,,360,ipo,2026-08-15
AMDY,250,1061,rs,2026-08-15
AMEI,,52,ipo,2026-08-15
AMEM,,52,ipo,2026-08-15
AMGR,,52,ipo,2026-08-15
AMGRF,283,,rs,2026-08-15
AMHI,,51,ipo,2026-08-15
AMIX,52,929,rs,2026-08-15
AMKL,,102,ipo,2026-08-15
AMKX,,39,ipo,2026-08-15
AMMO,,30,ipo,2026-08-15
AMOD,61,607,rs,2026-08-15
AMPGR,,193,ipo,2026-08-15
AMPGZ,,193,ipo,2026-08-15
AMPU,,101,ipo,2026-08-15
AMSS,,87,ipo,2026-08-15
AMUN,,299,ipo,2026-08-15
AMYY,,333,ipo,2026-08-15
AMZE,19,509,rs,2026-08-15
AMZG,4532,39,ipo,2026-08-15
AMZO,,144,ipo,2026-08-15
ANABV,,131,ipo,2026-08-15
ANDG,,241,ipo,2026-08-15
ANEL,,345,ipo,2026-08-15
ANGX,,338,ipo,2026-08-15
ANSCU,,131,ipo,2026-08-15
ANV,,193,ipo,2026-08-15
ANY,186,4421,rs,2026-08-15
AOTS,,235,ipo,2026-08-15
AOTVF,242,,rs,2026-08-15
APAC,,267,ipo,2026-08-15
APACR,,267,ipo,2026-08-15
APACU,,319,ipo,2026-08-15
APAD,,353,ipo,2026-08-15
APADR,,353,ipo,2026-08-15
APC,,184,ipo,2026-08-15
APDB,,101,ipo,2026-08-15
APEOF,32,,rs,2026-08-15
APGCX,302,,rs,2026-08-15
APGOF,334,,rs,2026-08-15
APHG,,60,ipo,2026-08-15
APHU,,178,ipo,2026-08-15
APLX,,340,ipo,2026-08-15
APLZ,73,205,both,2026-08-15
APM,26,2797,rs,2026-08-15
APMC,,47,ipo,2026-08-15
APMCR,,47,ipo,2026-08-15
APMCU,,73,ipo,2026-08-15
APMI,,39,ipo,2026-08-15
APMOF,164,,rs,2026-08-15
APMRF,26,,rs,2026-08-15
APPC,,50,ipo,2026-08-15
APPX,158,477,rs,2026-08-15
APRB,6136,305,ipo,2026-08-15
APUR,,66,ipo,2026-08-15
APURR,,66,ipo,2026-08-15
APURU,,86,ipo,2026-08-15
APUS,22,463,rs,2026-08-15
APVO,228,3666,rs,2026-08-15
APXT,,271,ipo,2026-08-15
APXTU,,291,ipo,2026-08-15
APXTW,,271,ipo,2026-08-15
AQEC,,270,ipo,2026-08-15
AQIMF,193,,rs,2026-08-15
AQLG,,68,ipo,2026-08-15
ARBK,246,1787,rs,2026-08-15
ARCI,,152,ipo,2026-08-15
ARCIU,,204,ipo,2026-08-15
ARCIW,,152,ipo,2026-08-15
ARCL,,78,ipo,2026-08-15
ARCLR,,78,ipo,2026-08-15
ARCLU,,107,ipo,2026-08-15
ARCLW,,78,ipo,2026-08-15
ARCUF,228,,rs,2026-08-15
ARCX,256,431,rs,2026-08-15
AREB,145,1650,rs,2026-08-15
AREBW,145,1650,rs,2026-08-15
ARIS,,177,ipo,2026-08-15
ARKD,,225,ipo,2026-08-15
ARKE,,45,ipo,2026-08-15
ARKI,,136,ipo,2026-08-15
ARKT,,318,ipo,2026-08-15
ARLI,,136,ipo,2026-08-15
ARLYF,81,,rs,2026-08-15
ARMA,,46,ipo,2026-08-15
ARMW,,296,ipo,2026-08-15
ARMY,,137,ipo,2026-08-15
ARTC,,169,ipo,2026-08-15
ARTCU,,221,ipo,2026-08-15
ARTCW,,169,ipo,2026-08-15
ARTL,158,2612,rs,2026-08-15
ARWG,,228,ipo,2026-08-15
ARXS,,121,ipo,2026-08-15
ASBP,96,541,rs,2026-08-15
ASCI,,299,ipo,2026-08-15
ASD,,74,ipo,2026-08-15
ASEC,,79,ipo,2026-08-15
ASKE,51,,rs,2026-08-15
ASMTF,263,,rs,2026-08-15
ASMU,,185,ipo,2026-08-15
ASMZ,,46,ipo,2026-08-15
ASND,,117,ipo,2026-08-15
ASNS,270,1555,rs,2026-08-15
ASRT,232,2922,rs,2026-08-15
ASST,190,334,both,2026-08-15
ASTG,,53,ipo,2026-08-15
ASTN,,190,ipo,2026-08-15
ASTT,7172,50,ipo,2026-08-15
ASTY,,86,ipo,2026-08-15
ASUP,,86,ipo,2026-08-15
ASWRF,32,,rs,2026-08-15
ATC,,95,ipo,2026-08-15
ATCL,,178,ipo,2026-08-15
ATCX,7703,218,ipo,2026-08-15
ATECX,302,,rs,2026-08-15
ATIIU,,204,ipo,2026-08-15
ATON,,345,ipo,2026-08-15
ATOS,194,5028,rs,2026-08-15
ATPC,186,1039,rs,2026-08-15
ATTR,,291,ipo,2026-08-15
ATVK,207,,rs,2026-08-15
ATVVF,264,,rs,2026-08-15
ATXG,138,1445,rs,2026-08-15
AUAU,,248,ipo,2026-08-15
AUC,,89,ipo,2026-08-15
AUHIF,282,,rs,2026-08-15
AUNXF,309,,rs,2026-08-15
AURE,177,306,both,2026-08-15
AURU,,311,ipo,2026-08-15
AUUD,136,2005,rs,2026-08-15
AV,,101,ipo,2026-08-15
AVAT,,65,ipo,2026-08-15
AVAZ,,92,ipo,2026-08-15
AVEX,,120,ipo,2026-08-15
AVGC,4415,46,ipo,2026-08-15
AVLN,6899,107,ipo,2026-08-15
AVLNF,33,,rs,2026-08-15
AVOS,,162,ipo,2026-08-15
AVRY,,205,ipo,2026-08-15
AVTM,,194,ipo,2026-08-15
AVX,61,275,both,2026-08-15
AVXX,145,295,both,2026-08-15
AWP,187,7051,rs,2026-08-15
AWPCX,302,,rs,2026-08-15
AXG,,309,ipo,2026-08-15
AXIA,8489,278,ipo,2026-08-15
AXINU,,221,ipo,2026-08-15
AXPG,,177,ipo,2026-08-15
AXTC,,39,ipo,2026-08-15
AXTL,,60,ipo,2026-08-15
AXTU,,102,ipo,2026-08-15
AXTX,,113,ipo,2026-08-15
AXUP,,333,ipo,2026-08-15
AYA,,103,ipo,2026-08-15
AZI,145,717,rs,2026-08-15
AZIO,,33,ipo,2026-08-15
AZLUQ,185,,rs,2026-08-15
AZLUY,166,,rs,2026-08-15
AZN,194,6140,rs,2026-08-15
AZTR,359,1156,rs,2026-08-15
AZUL,,75,ipo,2026-08-15
AZULQ,222,,rs,2026-08-15
AZURF,235,,rs,2026-08-15
AZYY,,333,ipo,2026-08-15
BABC,,36,ipo,2026-08-15
BABU,,185,ipo,2026-08-15
BABW,,296,ipo,2026-08-15
BABYF,37,,rs,2026-08-15
BACQU,,295,ipo,2026-08-15
BAIG,102,359,both,2026-08-15
BAIV,,170,ipo,2026-08-15
BALQ,,255,ipo,2026-08-15
BANL,26,1241,rs,2026-08-15
BANXR,,199,ipo,2026-08-15
BARK,136,1900,rs,2026-08-15
BATXF,291,,rs,2026-08-15
BAVA,,122,ipo,2026-08-15
BAY,,101,ipo,2026-08-15
BAYAU,,85,ipo,2026-08-15
BBB,,347,ipo,2026-08-15
BBBXF,176,,rs,2026-08-15
BBBY,,351,ipo,2026-08-15
BBBY.WS,,306,ipo,2026-08-15
BBCMF,281,,rs,2026-08-15
BBCQ,,199,ipo,2026-08-15
BBCQU,,219,ipo,2026-08-15
BBCQW,,199,ipo,2026-08-15
BBHL,,271,ipo,2026-08-15
